# MEAN_SAMPLE_SIZE = 77173
# TOTAL_GENES = 18811
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:wang_tumor...2         SET     357     0.070853    0.0096679     0.041242     0.042912 Curated_gene_sets:wang_tumor_invasiveness_up
Curated_gene_sets:wang_tumor...1         SET     197     0.016126    0.0016416     0.057567       0.3897 Curated_gene_sets:wang_tumor_invasiveness_dn
Curated_gene_sets:jiang_tip3...2         SET      44     0.073687    0.0035597      0.14073      0.30028 Curated_gene_sets:jiang_tip30_targets_up
Curated_gene_sets:jiang_tip3...1         SET      23     0.055639    0.0019444      0.16931      0.37122 Curated_gene_sets:jiang_tip30_targets_dn
Curated_gene_sets:greshock_c...          SET     323     0.022023    0.0028611      0.04768      0.32208 Curated_gene_sets:greshock_cancer_copy_number_up
Curated_gene_sets:wang_neopl...          SET      16     -0.24685   -0.0071963      0.24274       0.8454 Curated_gene_sets:wang_neoplastic_transformation_by_ccnd1_myc
Curated_gene_sets:tsai_respo...2         SET      32      0.10153    0.0041842       0.1572      0.25918 Curated_gene_sets:tsai_response_to_radiation_therapy
Curated_gene_sets:sasai_targ...2         SET      12      0.28309     0.007148        0.252      0.13065 Curated_gene_sets:sasai_targets_of_cxcr6_and_ptch1_up
Curated_gene_sets:sasai_targ...1         SET       8     -0.26458   -0.0054552      0.31862      0.79683 Curated_gene_sets:sasai_targets_of_cxcr6_and_ptch1_dn
Curated_gene_sets:miki_coexp...          SET       6    -0.097134   -0.0017345      0.30079      0.62662 Curated_gene_sets:miki_coexpressed_with_cyp19a1
Curated_gene_sets:beier_glio...2         SET      37     0.089906    0.0039835      0.13375      0.25073 Curated_gene_sets:beier_glioma_stem_cell_up
Curated_gene_sets:beier_glio...1         SET      63       0.1132      0.00654     0.099051      0.12657 Curated_gene_sets:beier_glioma_stem_cell_dn
Curated_gene_sets:vart_kshv_...2         SET     156     0.073049    0.0066248     0.072104      0.15551 Curated_gene_sets:vart_kshv_infection_angiogenic_markers_up
Curated_gene_sets:vart_kshv_...1         SET     127     0.061732    0.0050553     0.079221      0.21793 Curated_gene_sets:vart_kshv_infection_angiogenic_markers_dn
Curated_gene_sets:mootha_hum...          SET     410   -0.0020848  -0.00030442       0.0395      0.52105 Curated_gene_sets:mootha_human_mitodb_6_2002
Curated_gene_sets:mootha_pgc             SET     409    -0.029747   -0.0043385     0.039809      0.77254 Curated_gene_sets:mootha_pgc
Curated_gene_sets:mootha_tca             SET      15     -0.34919   -0.0098569       0.2117      0.95046 Curated_gene_sets:mootha_tca
Curated_gene_sets:lee_liver_...16        SET     174     0.099693    0.0095439     0.061892     0.053627 Curated_gene_sets:lee_liver_cancer_survival_dn
Curated_gene_sets:lee_liver_...17        SET     173    0.0017508   0.00016713     0.062006      0.48874 Curated_gene_sets:lee_liver_cancer_survival_up
Curated_gene_sets:mootha_mit...          SET     430    -0.017005   -0.0025415     0.038885      0.66905 Curated_gene_sets:mootha_mitochondria
Curated_gene_sets:mootha_ros             SET       7     -0.16353   -0.0031542       0.3092      0.70156 Curated_gene_sets:mootha_ros
Curated_gene_sets:davies_mul...2         SET      13      0.12452    0.0032723      0.20489      0.27169 Curated_gene_sets:davies_multiple_myeloma_vs_mgus_up
Curated_gene_sets:davies_mul...1         SET      23     0.074526    0.0026044      0.17731      0.33713 Curated_gene_sets:davies_multiple_myeloma_vs_mgus_dn
Curated_gene_sets:boylan_mul...2         SET      33       0.1002    0.0041933      0.13552      0.22984 Curated_gene_sets:boylan_multiple_myeloma_c_cluster_up
Curated_gene_sets:boylan_mul...1         SET      27     -0.22465   -0.0085051       0.1663      0.91162 Curated_gene_sets:boylan_multiple_myeloma_c_cluster_dn
Curated_gene_sets:boylan_mul...8         SET      26     0.090985    0.0033804      0.17659       0.3032 Curated_gene_sets:boylan_multiple_myeloma_d_cluster_up
Curated_gene_sets:boylan_mul...7         SET      32       0.1776    0.0073192      0.15191      0.12118 Curated_gene_sets:boylan_multiple_myeloma_d_cluster_dn
Curated_gene_sets:boylan_mul...10        SET      88     0.058831    0.0040145     0.086641      0.24857 Curated_gene_sets:boylan_multiple_myeloma_d_up
Curated_gene_sets:boylan_mul...9         SET      70    -0.012954  -0.00078877      0.10657      0.54837 Curated_gene_sets:boylan_multiple_myeloma_d_dn
Curated_gene_sets:boylan_mul...4         SET     132    -0.027033   -0.0022567     0.073686      0.64314 Curated_gene_sets:boylan_multiple_myeloma_c_d_up
Curated_gene_sets:boylan_mul...3         SET     250   -0.0068013  -0.00077887     0.055458       0.5488 Curated_gene_sets:boylan_multiple_myeloma_c_d_dn
Curated_gene_sets:boylan_mul...6         SET      46     0.011356   0.00056091      0.13512      0.46651 Curated_gene_sets:boylan_multiple_myeloma_c_up
Curated_gene_sets:boylan_mul...5         SET      51         -0.1   -0.0052001      0.11785      0.80193 Curated_gene_sets:boylan_multiple_myeloma_c_dn
Curated_gene_sets:wu_silence...          SET      50     0.084309    0.0043409       0.1203      0.24171 Curated_gene_sets:wu_silenced_by_methylation_in_bladder_cancer
Curated_gene_sets:ferrari_re...2         SET      21     -0.35992    -0.012019      0.20198      0.96261 Curated_gene_sets:ferrari_response_to_fenretinide_up
Curated_gene_sets:ferrari_re...1         SET       5      0.09997    0.0016297      0.40236      0.40189 Curated_gene_sets:ferrari_response_to_fenretinide_dn
Curated_gene_sets:hellebreke...          SET      75    -0.047886   -0.0030177      0.09942      0.68497 Curated_gene_sets:hellebrekers_silenced_during_tumor_angiogenesis
Curated_gene_sets:reichert_g...          SET       8       0.4709    0.0097092      0.22866     0.019738 Curated_gene_sets:reichert_g1s_regulators_as_pi3k_targets
Curated_gene_sets:gu_pdef_ta...2         SET      69     -0.10091   -0.0061003      0.11282      0.81444 Curated_gene_sets:gu_pdef_targets_up
Curated_gene_sets:gu_pdef_ta...1         SET      38     0.095762    0.0042998      0.14838      0.25935 Curated_gene_sets:gu_pdef_targets_dn
Curated_gene_sets:tooker_gem...2         SET      79     -0.14318   -0.0092596     0.086427       0.9512 Curated_gene_sets:tooker_gemcitabine_resistance_up
Curated_gene_sets:tooker_gem...1         SET     120      0.17736     0.014121     0.076505     0.010224 Curated_gene_sets:tooker_gemcitabine_resistance_dn
Curated_gene_sets:bohn_prima...2         SET      45    -0.082321   -0.0040216      0.11324      0.76638 Curated_gene_sets:bohn_primary_immunodeficiency_syndrom_up
Curated_gene_sets:bohn_prima...1         SET      37     -0.11231    -0.004976       0.1408      0.78746 Curated_gene_sets:bohn_primary_immunodeficiency_syndrom_dn
Curated_gene_sets:flotho_ped...2         SET      52     0.067391    0.0035384      0.11055      0.27107 Curated_gene_sets:flotho_pediatric_all_therapy_response_up
Curated_gene_sets:flotho_ped...1         SET      28    -0.081929   -0.0031586      0.15632      0.69989 Curated_gene_sets:flotho_pediatric_all_therapy_response_dn
Curated_gene_sets:vilimas_no...2         SET      52    -0.054611   -0.0028674      0.12181      0.67304 Curated_gene_sets:vilimas_notch1_targets_up
Curated_gene_sets:vilimas_no...1         SET      25     -0.11623   -0.0042344      0.18041      0.74029 Curated_gene_sets:vilimas_notch1_targets_dn
Curated_gene_sets:spira_smok...2         SET      35      0.28203     0.012154      0.13618     0.019189 Curated_gene_sets:spira_smokers_lung_cancer_up
Curated_gene_sets:spira_smok...1         SET      14     0.012434   0.00033911      0.21014      0.47641 Curated_gene_sets:spira_smokers_lung_cancer_dn
Curated_gene_sets:ludwiczek_...          SET       7      0.53862     0.010389      0.32517     0.048824 Curated_gene_sets:ludwiczek_treating_iron_overload
Curated_gene_sets:ju_aging_t...2         SET      11     0.020421   0.00049369      0.23808      0.46582 Curated_gene_sets:ju_aging_terc_targets_up
Curated_gene_sets:ju_aging_t...1         SET       6     -0.19179   -0.0034248      0.33977      0.71378 Curated_gene_sets:ju_aging_terc_targets_dn
Curated_gene_sets:zaidi_oste...          SET      13     -0.44337    -0.011652      0.24774      0.96324 Curated_gene_sets:zaidi_osteoblast_transcription_factors
Curated_gene_sets:wagner_apo...          SET      26      0.17569    0.0065274      0.18152      0.16655 Curated_gene_sets:wagner_apo2_sensitivity
Curated_gene_sets:palomero_g...2         SET       7     -0.33986   -0.0065551      0.30842      0.86475 Curated_gene_sets:palomero_gsi_sensitivity_up
Curated_gene_sets:palomero_g...1         SET       4     0.059467   0.00086709      0.48358      0.45107 Curated_gene_sets:palomero_gsi_sensitivity_dn
Curated_gene_sets:soucek_myc...          SET      10     -0.22393   -0.0051617      0.28159      0.78676 Curated_gene_sets:soucek_myc_targets
Curated_gene_sets:seki_infla...2         SET      73     -0.18159    -0.011291     0.099783       0.9656 Curated_gene_sets:seki_inflammatory_response_lps_up
Curated_gene_sets:seki_infla...1         SET      22     -0.39275    -0.013424      0.17022      0.98947 Curated_gene_sets:seki_inflammatory_response_lps_dn
Curated_gene_sets:ray_alzhei...          SET      16      0.46461     0.013545      0.22528     0.019595 Curated_gene_sets:ray_alzheimers_disease
Curated_gene_sets:hunsberger...          SET      27      0.32424     0.012276      0.17322     0.030625 Curated_gene_sets:hunsberger_exercise_regulated_genes
Curated_gene_sets:piontek_pk...2         SET      35    -0.038599   -0.0016634      0.14649      0.60391 Curated_gene_sets:piontek_pkd1_targets_up
Curated_gene_sets:piontek_pk...1         SET      12     0.083818    0.0021164      0.20409      0.34066 Curated_gene_sets:piontek_pkd1_targets_dn
Curated_gene_sets:chauhan_re...2         SET      46     0.040446    0.0019977      0.10618      0.35164 Curated_gene_sets:chauhan_response_to_methoxyestradiol_up
Curated_gene_sets:chauhan_re...1         SET      94     0.097237    0.0068567     0.082777      0.12007 Curated_gene_sets:chauhan_response_to_methoxyestradiol_dn
Curated_gene_sets:frasor_res...4         SET      22     0.053787    0.0018384      0.17882      0.38179 Curated_gene_sets:frasor_response_to_serm_or_fulvestrant_up
Curated_gene_sets:frasor_res...3         SET      50       0.1097    0.0056485      0.11378      0.16748 Curated_gene_sets:frasor_response_to_serm_or_fulvestrant_dn
Curated_gene_sets:goldrath_a...          SET     333    -0.060663   -0.0079997     0.044325      0.91442 Curated_gene_sets:goldrath_antigen_response
Curated_gene_sets:ichiba_gra...4         SET     108     0.029393    0.0022208     0.083116      0.36181 Curated_gene_sets:ichiba_graft_versus_host_disease_d7_up
Curated_gene_sets:ichiba_gra...3         SET      40    -0.083619   -0.0038519      0.13154      0.73751 Curated_gene_sets:ichiba_graft_versus_host_disease_d7_dn
Curated_gene_sets:ichiba_gra...2         SET     130      0.10594    0.0087767     0.072327     0.071506 Curated_gene_sets:ichiba_graft_versus_host_disease_35d_up
Curated_gene_sets:ichiba_gra...1         SET      54    -0.027191   -0.0014548      0.11728      0.59167 Curated_gene_sets:ichiba_graft_versus_host_disease_35d_dn
Curated_gene_sets:lindstedt_...1         SET      61    -0.072109   -0.0040997      0.10344      0.75713 Curated_gene_sets:lindstedt_dendritic_cell_maturation_a
Curated_gene_sets:lindstedt_...2         SET      45     -0.10127   -0.0049471       0.1317      0.77902 Curated_gene_sets:lindstedt_dendritic_cell_maturation_b
Curated_gene_sets:lindstedt_...3         SET      62    -0.047828   -0.0027413      0.11348      0.66328 Curated_gene_sets:lindstedt_dendritic_cell_maturation_c
Curated_gene_sets:lindstedt_...4         SET      61  -0.00029194  -1.6598e-05      0.11681        0.501 Curated_gene_sets:lindstedt_dendritic_cell_maturation_d
Curated_gene_sets:marshall_v...2         SET       9    -0.093731   -0.0020498      0.33535      0.61007 Curated_gene_sets:marshall_viral_infection_response_up
Curated_gene_sets:marshall_v...1         SET      28    -0.018286  -0.00070497      0.15707      0.54634 Curated_gene_sets:marshall_viral_infection_response_dn
Curated_gene_sets:martinelli...2         SET       9      0.67882     0.014845      0.29527     0.010759 Curated_gene_sets:martinelli_immature_neutrophil_up
Curated_gene_sets:martinelli...1         SET      13    -0.052737   -0.0013859      0.22528      0.59254 Curated_gene_sets:martinelli_immature_neutrophil_dn
Curated_gene_sets:nick_respo...          SET      24     0.052504    0.0018742      0.16729      0.37682 Curated_gene_sets:nick_response_to_proc_treatment_dn
Curated_gene_sets:nutt_gbm_v...2         SET      42       0.1336     0.006306      0.13094      0.15379 Curated_gene_sets:nutt_gbm_vs_ao_glioma_up
Curated_gene_sets:nutt_gbm_v...1         SET      45   -0.0073419  -0.00035867      0.11431      0.52561 Curated_gene_sets:nutt_gbm_vs_ao_glioma_dn
Curated_gene_sets:park_apl_p...2         SET      14     -0.18068   -0.0049273      0.24436      0.77016 Curated_gene_sets:park_apl_pathogenesis_up
Curated_gene_sets:park_apl_p...1         SET      47     -0.14819   -0.0073981      0.12915      0.87439 Curated_gene_sets:park_apl_pathogenesis_dn
Curated_gene_sets:park_treti...1         SET      12     -0.40499    -0.010226      0.28107      0.92519 Curated_gene_sets:park_tretinoin_response
Curated_gene_sets:park_treti...2         SET      30    -0.092255   -0.0036814      0.16927      0.70712 Curated_gene_sets:park_tretinoin_response_and_pml_rara_fusion
Curated_gene_sets:park_treti...3         SET      23     -0.10677   -0.0037311      0.18688       0.7161 Curated_gene_sets:park_tretinoin_response_and_rara_plzf_fusion
Curated_gene_sets:zhang_inte...          SET      22     -0.16406   -0.0056075      0.20369      0.78971 Curated_gene_sets:zhang_interferon_response
Curated_gene_sets:wu_alzheim...2         SET      10     0.037613   0.00086702      0.29443      0.44917 Curated_gene_sets:wu_alzheimer_disease_up
Curated_gene_sets:wu_alzheim...1         SET      16      0.22735    0.0066279      0.20015        0.128 Curated_gene_sets:wu_alzheimer_disease_dn
Curated_gene_sets:mizukami_h...2         SET      12      0.77458     0.019558      0.23353   0.00045622 Curated_gene_sets:mizukami_hypoxia_up
Curated_gene_sets:mizukami_h...1         SET       6       0.6131     0.010948      0.28779     0.016577 Curated_gene_sets:mizukami_hypoxia_dn
Curated_gene_sets:yoshimura_...2         SET    1128    -0.023941   -0.0056844     0.026099      0.82051 Curated_gene_sets:yoshimura_mapk8_targets_up
Curated_gene_sets:yoshimura_...1         SET     335    -0.056464   -0.0074679     0.045154      0.89443 Curated_gene_sets:yoshimura_mapk8_targets_dn
Curated_gene_sets:wunder_inf...2         SET      60     -0.01456  -0.00082098      0.11263      0.55143 Curated_gene_sets:wunder_inflammatory_response_and_cholesterol_up
Curated_gene_sets:wunder_inf...1         SET       9     -0.20767   -0.0045414      0.23835       0.8082 Curated_gene_sets:wunder_inflammatory_response_and_cholesterol_dn
Curated_gene_sets:ray_target...2         SET      13    -0.035528  -0.00093369      0.23365      0.56043 Curated_gene_sets:ray_targets_of_p210_bcr_abl_fusion_up
Curated_gene_sets:ray_target...1         SET      15      0.41459     0.011703      0.23024     0.035883 Curated_gene_sets:ray_targets_of_p210_bcr_abl_fusion_dn
Curated_gene_sets:ruiz_tnc_t...2         SET     150     0.062015    0.0055158     0.073324      0.19885 Curated_gene_sets:ruiz_tnc_targets_up
Curated_gene_sets:ruiz_tnc_t...1         SET     138     -0.10132   -0.0086467     0.070215      0.92548 Curated_gene_sets:ruiz_tnc_targets_dn
Curated_gene_sets:rutella_re...2         SET     319     0.022183    0.0028642     0.046585      0.31698 Curated_gene_sets:rutella_response_to_csf2rb_and_il4_up
Curated_gene_sets:rutella_re...1         SET     308     -0.03628   -0.0046044      0.04828       0.7738 Curated_gene_sets:rutella_response_to_csf2rb_and_il4_dn
Curated_gene_sets:rutella_re...4         SET     400     0.024502    0.0035349     0.042275       0.2811 Curated_gene_sets:rutella_response_to_hgf_up
Curated_gene_sets:rutella_re...3         SET     227    -0.058499   -0.0063875      0.05541      0.85445 Curated_gene_sets:rutella_response_to_hgf_dn
Curated_gene_sets:rutella_re...6         SET     396   -0.0086639   -0.0012438     0.042697       0.5804 Curated_gene_sets:rutella_response_to_hgf_vs_csf2rb_and_il4_up
Curated_gene_sets:rutella_re...5         SET     231   -0.0017847  -0.00019656     0.055005      0.51294 Curated_gene_sets:rutella_response_to_hgf_vs_csf2rb_and_il4_dn
Curated_gene_sets:schraets_m...2         SET      27     0.047343    0.0017924      0.16761       0.3888 Curated_gene_sets:schraets_mll_targets_up
Curated_gene_sets:schraets_m...1         SET      32    -0.093065   -0.0038353      0.16507      0.71355 Curated_gene_sets:schraets_mll_targets_dn
Curated_gene_sets:mueller_co...2         SET      13      -0.1846   -0.0048514      0.21081       0.8094 Curated_gene_sets:mueller_common_targets_of_aml_fusions_up
Curated_gene_sets:mueller_co...1         SET      30     0.033636    0.0013422      0.15966      0.41657 Curated_gene_sets:mueller_common_targets_of_aml_fusions_dn
Curated_gene_sets:ross_leuke...          SET      77    0.0042865    0.0002737     0.092754      0.48157 Curated_gene_sets:ross_leukemia_with_mll_fusions
Curated_gene_sets:vanasse_bc...2         SET      30     0.019649   0.00078409      0.16939      0.45383 Curated_gene_sets:vanasse_bcl2_targets_up
Curated_gene_sets:vanasse_bc...1         SET      57     -0.10937   -0.0060116      0.10874      0.84275 Curated_gene_sets:vanasse_bcl2_targets_dn
Curated_gene_sets:vantveer_b...4         SET     203    -0.074056   -0.0076517     0.057824      0.89984 Curated_gene_sets:vantveer_breast_cancer_esr1_up
Curated_gene_sets:vantveer_b...3         SET     260     0.036692    0.0042839     0.052928      0.24408 Curated_gene_sets:vantveer_breast_cancer_esr1_dn
Curated_gene_sets:vantveer_b...2         SET      38     -0.12605   -0.0056598      0.12975      0.83434 Curated_gene_sets:vantveer_breast_cancer_brca1_up
Curated_gene_sets:vantveer_b...1         SET      47     -0.14236   -0.0071071      0.12024      0.88177 Curated_gene_sets:vantveer_breast_cancer_brca1_dn
Curated_gene_sets:wallace_ja...          SET      21     0.020605   0.00068811      0.17362      0.45276 Curated_gene_sets:wallace_jak2_targets_up
Curated_gene_sets:aguirre_pa...2         SET     290    0.0039638   0.00048836     0.051288       0.4692 Curated_gene_sets:aguirre_pancreatic_cancer_copy_number_up
Curated_gene_sets:aguirre_pa...1         SET     230     0.041596    0.0045714     0.057881      0.23619 Curated_gene_sets:aguirre_pancreatic_cancer_copy_number_dn
Curated_gene_sets:sweet_lung...2         SET     433     0.014434    0.0021646     0.039486      0.35735 Curated_gene_sets:sweet_lung_cancer_kras_up
Curated_gene_sets:sweet_lung...1         SET     398    -0.087009    -0.012522     0.045391      0.97237 Curated_gene_sets:sweet_lung_cancer_kras_dn
Curated_gene_sets:sweet_kras...1         SET      87     0.045656    0.0030978     0.082462      0.28991 Curated_gene_sets:sweet_kras_oncogenic_signature
Curated_gene_sets:hinata_nfk...3         SET      84    -0.096551   -0.0064377     0.093545      0.84899 Curated_gene_sets:hinata_nfkb_targets_keratinocyte_up
Curated_gene_sets:hinata_nfk...2         SET      22      0.28368    0.0096959       0.1851       0.0627 Curated_gene_sets:hinata_nfkb_targets_keratinocyte_dn
Curated_gene_sets:hinata_nfk...1         SET      80    -0.052254   -0.0034005     0.097116      0.70473 Curated_gene_sets:hinata_nfkb_targets_fibroblast_up
Curated_gene_sets:hoffmann_p...2         SET      27    -0.095119   -0.0036012      0.16042      0.72338 Curated_gene_sets:hoffmann_pre_bi_to_large_pre_bii_lymphocyte_up
Curated_gene_sets:hoffmann_p...1         SET      68     -0.14597   -0.0087608     0.099738      0.92833 Curated_gene_sets:hoffmann_pre_bi_to_large_pre_bii_lymphocyte_dn
Curated_gene_sets:hoffmann_l...2         SET     147     0.037271    0.0032819     0.065522      0.28474 Curated_gene_sets:hoffmann_large_to_small_pre_bii_lymphocyte_up
Curated_gene_sets:hoffmann_l...1         SET      62    -0.023886   -0.0013691      0.10478      0.59016 Curated_gene_sets:hoffmann_large_to_small_pre_bii_lymphocyte_dn
Curated_gene_sets:hoffmann_s...2         SET      55      0.10859    0.0058632      0.10897      0.15951 Curated_gene_sets:hoffmann_small_pre_bii_to_immature_b_lymphocyte_up
Curated_gene_sets:hoffmann_s...1         SET      35      0.23695     0.010211       0.1351     0.039737 Curated_gene_sets:hoffmann_small_pre_bii_to_immature_b_lymphocyte_dn
Curated_gene_sets:hoffmann_i...2         SET      38     0.023335    0.0010478       0.1351      0.43143 Curated_gene_sets:hoffmann_immature_to_mature_b_lymphocyte_up
Curated_gene_sets:hoffmann_i...1         SET      42      0.15844    0.0074783      0.12846      0.10873 Curated_gene_sets:hoffmann_immature_to_mature_b_lymphocyte_dn
Curated_gene_sets:hofmann_my...4         SET      20     -0.13147   -0.0042847      0.20377       0.7406 Curated_gene_sets:hofmann_myelodysplastic_syndrom_low_risk_up
Curated_gene_sets:hofmann_my...3         SET      26     0.056973    0.0021167      0.15632      0.35776 Curated_gene_sets:hofmann_myelodysplastic_syndrom_low_risk_dn
Curated_gene_sets:hofmann_my...2         SET       8    -0.058346    -0.001203      0.35127      0.56596 Curated_gene_sets:hofmann_myelodysplastic_syndrom_high_risk_up
Curated_gene_sets:hofmann_my...1         SET      19     -0.11253   -0.0035745      0.20022      0.71294 Curated_gene_sets:hofmann_myelodysplastic_syndrom_high_risk_dn
Curated_gene_sets:hofmann_my...6         SET      20     0.034314    0.0011183      0.16549      0.41787 Curated_gene_sets:hofmann_myelodysplastic_syndrom_risk_up
Curated_gene_sets:hofmann_my...5         SET      21    -0.071153   -0.0023761      0.17802       0.6553 Curated_gene_sets:hofmann_myelodysplastic_syndrom_risk_dn
Curated_gene_sets:lee_early_...2         SET      99     -0.17696    -0.012805     0.082224       0.9843 Curated_gene_sets:lee_early_t_lymphocyte_up
Curated_gene_sets:lee_early_...1         SET      54     -0.21115    -0.011297      0.11523      0.96655 Curated_gene_sets:lee_early_t_lymphocyte_dn
Curated_gene_sets:lee_intrat...          SET      19     -0.18496   -0.0058754      0.21148       0.8091 Curated_gene_sets:lee_intrathymic_t_progenitor
Curated_gene_sets:lee_double...          SET      24      0.13527    0.0048286       0.1789      0.22481 Curated_gene_sets:lee_double_polar_thymocyte
Curated_gene_sets:lee_sp4_th...          SET      15    -0.099261   -0.0028019      0.26332      0.64689 Curated_gene_sets:lee_sp4_thymocyte
Curated_gene_sets:lee_recent...          SET     214     0.017003    0.0018033     0.059419      0.38738 Curated_gene_sets:lee_recent_thymic_emigrant
Curated_gene_sets:lee_naive_...          SET      17      0.15168    0.0045579      0.21651      0.24179 Curated_gene_sets:lee_naive_t_lymphocyte
Curated_gene_sets:lee_differ...          SET     181    -0.028585   -0.0027905     0.061074      0.68012 Curated_gene_sets:lee_differentiating_t_lymphocyte
Curated_gene_sets:li_wilms_t...1         SET      25     -0.23213   -0.0084569      0.16896      0.91525 Curated_gene_sets:li_wilms_tumor
Curated_gene_sets:finak_brea...          SET      22      0.13597    0.0046473      0.20371      0.25224 Curated_gene_sets:finak_breast_cancer_sdpp_signature
Curated_gene_sets:shedden_lu...4         SET     440     0.034042    0.0051452     0.038627      0.18908 Curated_gene_sets:shedden_lung_cancer_poor_survival_a6
Curated_gene_sets:shedden_lu...2         SET     187     0.075518    0.0074922     0.064366      0.12035 Curated_gene_sets:shedden_lung_cancer_good_survival_a4
Curated_gene_sets:bruneau_se...1         SET       5      0.41062    0.0066939      0.41933      0.16374 Curated_gene_sets:bruneau_septation_atrial
Curated_gene_sets:shedden_lu...3         SET      65     -0.10946   -0.0064232     0.094732      0.87604 Curated_gene_sets:shedden_lung_cancer_good_survival_a5
Curated_gene_sets:bruneau_se...2         SET      10     0.025219   0.00058133      0.22675      0.45572 Curated_gene_sets:bruneau_septation_ventricular
Curated_gene_sets:bruneau_he...          SET       8      0.31228    0.0064387      0.29673      0.14632 Curated_gene_sets:bruneau_heart_great_vessels_and_valvulogenesis
Curated_gene_sets:mellman_tu...2         SET      19       0.1605    0.0050985      0.18932      0.19829 Curated_gene_sets:mellman_tut1_targets_up
Curated_gene_sets:mellman_tu...1         SET      47      0.13694    0.0068367      0.11527      0.11742 Curated_gene_sets:mellman_tut1_targets_dn
Curated_gene_sets:han_satb1_...2         SET     401     -0.12284    -0.017743     0.043812      0.99747 Curated_gene_sets:han_satb1_targets_up
Curated_gene_sets:han_satb1_...1         SET     369    0.0036439   0.00050533     0.044171      0.46713 Curated_gene_sets:han_satb1_targets_dn
Curated_gene_sets:shedden_lu...1         SET     261      0.04792    0.0056054      0.05217      0.17918 Curated_gene_sets:shedden_lung_cancer_good_survival_a12
Curated_gene_sets:colina_tar...          SET     328    0.0022982   0.00030082     0.044805      0.47955 Curated_gene_sets:colina_targets_of_4ebp1_and_4ebp2
Curated_gene_sets:chen_metab...          SET    1159     0.045537      0.01095     0.024965     0.034082 Curated_gene_sets:chen_metabolic_syndrom_network
Curated_gene_sets:mcmurray_t...2         SET      24    -0.034895   -0.0012457      0.16529       0.5836 Curated_gene_sets:mcmurray_tp53_hras_cooperation_response_up
Curated_gene_sets:mcmurray_t...1         SET      63     -0.02989   -0.0017269      0.11082      0.60631 Curated_gene_sets:mcmurray_tp53_hras_cooperation_response_dn
Curated_gene_sets:mikkelsen_...37        SET      10      0.11492     0.002649      0.25584      0.32665 Curated_gene_sets:mikkelsen_pluripotent_state_up
Curated_gene_sets:mikkelsen_...36        SET       6       1.0645     0.019008      0.40249     0.004092 Curated_gene_sets:mikkelsen_pluripotent_state_dn
Curated_gene_sets:mikkelsen_...2         SET       7      0.34564    0.0066665      0.32826      0.14619 Curated_gene_sets:mikkelsen_dedifferentiated_state_up
Curated_gene_sets:mikkelsen_...1         SET       6      0.32162    0.0057431      0.38982      0.20468 Curated_gene_sets:mikkelsen_dedifferentiated_state_dn
Curated_gene_sets:mikkelsen_...35        SET       8     -0.23712   -0.0048892      0.33754      0.75881 Curated_gene_sets:mikkelsen_partially_reprogrammed_to_pluripotency
Curated_gene_sets:ellwood_my...2         SET      13      0.05958    0.0015658      0.23844      0.40134 Curated_gene_sets:ellwood_myc_targets_up
Curated_gene_sets:ellwood_my...1         SET      41     0.089115     0.004156       0.1289      0.24468 Curated_gene_sets:ellwood_myc_targets_dn
Curated_gene_sets:shaffer_ir...1         SET      33     0.093149    0.0038982      0.13746        0.249 Curated_gene_sets:shaffer_irf4_multiple_myeloma_program
Curated_gene_sets:shaffer_ir...4         SET      97      0.12538    0.0089806     0.084931     0.069945 Curated_gene_sets:shaffer_irf4_targets_in_myeloma_vs_mature_b_lymphocyte
Curated_gene_sets:shaffer_ir...5         SET      64    0.0018406   0.00010718      0.11098      0.49338 Curated_gene_sets:shaffer_irf4_targets_in_plasma_cell_vs_mature_b_lymphocyte
Curated_gene_sets:shaffer_ir...2         SET      78      0.13774    0.0088511     0.094237     0.071937 Curated_gene_sets:shaffer_irf4_targets_in_activated_b_lymphocyte
Curated_gene_sets:shaffer_ir...3         SET      60      0.21655     0.012211      0.11141     0.025977 Curated_gene_sets:shaffer_irf4_targets_in_activated_dendritic_cell
Curated_gene_sets:hsiao_hous...          SET     370     0.028979    0.0040241     0.040535      0.23734 Curated_gene_sets:hsiao_housekeeping_genes
Curated_gene_sets:meissner_e...1         SET      30    -0.078106   -0.0031168      0.14619      0.70343 Curated_gene_sets:meissner_es_icp_with_h3k4me3
Curated_gene_sets:meissner_e...2         SET      13      0.40825     0.010729      0.21365     0.028022 Curated_gene_sets:meissner_es_icp_with_h3k4me3_and_h3k27me3
Curated_gene_sets:meissner_n...2         SET      77      0.17229     0.011001      0.10617     0.052326 Curated_gene_sets:meissner_npc_hcp_with_h3k27me3
Curated_gene_sets:meissner_n...7         SET      18     -0.11925   -0.0036873      0.18415      0.74138 Curated_gene_sets:meissner_npc_icp_with_h3k4me3
Curated_gene_sets:meissner_n...5         SET     139    -0.010905  -0.00093392     0.076416      0.55674 Curated_gene_sets:meissner_npc_hcp_with_h3k4me3_and_h3k27me3
Curated_gene_sets:meissner_n...1         SET     509     0.014858    0.0024108     0.037126      0.34451 Curated_gene_sets:meissner_npc_hcp_with_h3_unmethylated
