# MEAN_SAMPLE_SIZE = 64163
# TOTAL_GENES = 18811
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:izadpanah_...1         SET     105     0.053483    0.0039847     0.086284      0.26768 Curated_gene_sets:izadpanah_stem_cell_adipose_vs_bone_dn
Curated_gene_sets:zhang_brea...2         SET     400     0.018691    0.0026965     0.043285      0.33294 Curated_gene_sets:zhang_breast_cancer_progenitors_up
Curated_gene_sets:zhang_brea...1         SET     132     0.058335    0.0048696     0.072868       0.2117 Curated_gene_sets:zhang_breast_cancer_progenitors_dn
Curated_gene_sets:mishra_car...1         SET      22     -0.17029   -0.0058205      0.17499      0.83476 Curated_gene_sets:mishra_carcinoma_associated_fibroblast_dn
Curated_gene_sets:bernard_pp...2         SET      35     0.070352    0.0030319      0.14112      0.30905 Curated_gene_sets:bernard_ppapdc1b_targets_up
Curated_gene_sets:bernard_pp...1         SET      56     0.018497    0.0010077      0.12548       0.4414 Curated_gene_sets:bernard_ppapdc1b_targets_dn
Curated_gene_sets:gaurnier_p...          SET      68     -0.12457   -0.0074763      0.11537      0.85987 Curated_gene_sets:gaurnier_psmd4_targets
Curated_gene_sets:ehlers_ane...2         SET      40    0.0039241   0.00018076      0.12182      0.48715 Curated_gene_sets:ehlers_aneuploidy_up
Curated_gene_sets:ehlers_ane...1         SET      12      0.13267      0.00335       0.2749      0.31469 Curated_gene_sets:ehlers_aneuploidy_dn
Curated_gene_sets:zheng_glio...2         SET     228    -0.032084   -0.0035108     0.058131       0.7095 Curated_gene_sets:zheng_glioblastoma_plasticity_up
Curated_gene_sets:zheng_glio...1         SET      54   8.1128e-05   4.3406e-06      0.12695      0.49975 Curated_gene_sets:zheng_glioblastoma_plasticity_dn
Curated_gene_sets:buckanovic...2         SET      19      0.04296    0.0013647      0.21662       0.4214 Curated_gene_sets:buckanovich_t_lymphocyte_homing_on_tumor_up
Curated_gene_sets:buckanovic...1         SET      20     0.051944    0.0016929      0.22154      0.40731 Curated_gene_sets:buckanovich_t_lymphocyte_homing_on_tumor_dn
Curated_gene_sets:jones_tcof...          SET       5    -0.095309   -0.0015537      0.42073      0.58961 Curated_gene_sets:jones_tcof1_targets
Curated_gene_sets:aujla_il22...          SET      10     -0.21703   -0.0050029      0.25015       0.8072 Curated_gene_sets:aujla_il22_and_il17a_signaling
Curated_gene_sets:zheng_il22...2         SET      55    -0.010364  -0.00055959      0.11857      0.53482 Curated_gene_sets:zheng_il22_signaling_up
Curated_gene_sets:zheng_il22...1         SET      30     0.058797    0.0023463      0.14964      0.34719 Curated_gene_sets:zheng_il22_signaling_dn
Curated_gene_sets:bochkis_fo...          SET     411    0.0057599   0.00084206      0.04107      0.44423 Curated_gene_sets:bochkis_foxa2_targets
Curated_gene_sets:honma_doce...          SET      35    0.0018558   7.9978e-05      0.14694      0.49496 Curated_gene_sets:honma_docetaxel_resistance
Curated_gene_sets:wilensky_r...          SET      28     -0.32749    -0.012626       0.1568      0.98162 Curated_gene_sets:wilensky_response_to_darapladib
Curated_gene_sets:matzuk_ovu...          SET      17      0.23331    0.0070109      0.22593      0.15088 Curated_gene_sets:matzuk_ovulation
Curated_gene_sets:matzuk_cum...          SET       9    -0.021951  -0.00048004      0.32008      0.52734 Curated_gene_sets:matzuk_cumulus_expansion
Curated_gene_sets:matzuk_fer...          SET       7     -0.72431     -0.01397      0.33009      0.98588 Curated_gene_sets:matzuk_fertilization
Curated_gene_sets:matzuk_mat...          SET       8     -0.23916   -0.0049311      0.32946      0.76604 Curated_gene_sets:matzuk_maternal_effect
Curated_gene_sets:matzuk_imp...          SET      21      0.06401    0.0021376      0.19762      0.37301 Curated_gene_sets:matzuk_implantation_and_uterine
Curated_gene_sets:matzuk_pos...          SET      12     -0.21991   -0.0055527      0.29001      0.77586 Curated_gene_sets:matzuk_postimplantation_and_postpartum
Curated_gene_sets:matzuk_ste...          SET       8     -0.22456   -0.0046301       0.3171      0.76058 Curated_gene_sets:matzuk_steroidogenesis
Curated_gene_sets:matzuk_mei...          SET      38      0.16025    0.0071956      0.12852      0.10622 Curated_gene_sets:matzuk_meiotic_and_dna_repair
Curated_gene_sets:matzuk_cen...          SET      28       0.2321    0.0089481       0.1549     0.067033 Curated_gene_sets:matzuk_central_for_female_fertility
Curated_gene_sets:matzuk_emb...          SET      19    -0.037354   -0.0011866      0.19815      0.57476 Curated_gene_sets:matzuk_embryonic_germ_cell
Curated_gene_sets:matzuk_ear...          SET      12     -0.31776   -0.0080233      0.29222      0.86156 Curated_gene_sets:matzuk_early_antral_follicle
Curated_gene_sets:matzuk_lut...          SET       8      0.10627    0.0021911      0.30575      0.36408 Curated_gene_sets:matzuk_luteal_genes
Curated_gene_sets:matzuk_pre...          SET       9    -0.078259   -0.0017114      0.30787      0.60032 Curated_gene_sets:matzuk_preovulatory_follicle
Curated_gene_sets:matzuk_mal...          SET      24      0.12964    0.0046277      0.15627      0.20339 Curated_gene_sets:matzuk_male_reproduction_sertoli
Curated_gene_sets:matzuk_spe...3         SET      25     0.022231   0.00080993      0.17801      0.45031 Curated_gene_sets:matzuk_spermatogonia
Curated_gene_sets:matzuk_spe...2         SET      69     0.018403    0.0011126      0.10208      0.42847 Curated_gene_sets:matzuk_spermatocyte
Curated_gene_sets:matzuk_spe...1         SET      36     0.076594    0.0033476      0.13738      0.28858 Curated_gene_sets:matzuk_spermatid_differentiation
Curated_gene_sets:matzuk_spe...4         SET     111    -0.056127   -0.0042988     0.082637      0.75149 Curated_gene_sets:matzuk_spermatozoa
Curated_gene_sets:bonci_targ...          SET      92      0.05238    0.0036542     0.087535       0.2748 Curated_gene_sets:bonci_targets_of_mir15a_and_mir16_1
Curated_gene_sets:chung_blis...2         SET     130     0.034105    0.0028254     0.070514      0.31432 Curated_gene_sets:chung_blister_cytotoxicity_up
Curated_gene_sets:chung_blis...1         SET      42       0.4893     0.023095      0.13613   0.00016312 Curated_gene_sets:chung_blister_cytotoxicity_dn
Curated_gene_sets:whiteford_...          SET     114    -0.079544   -0.0061737     0.074957      0.85569 Curated_gene_sets:whiteford_pediatric_cancer_markers
Curated_gene_sets:grade_colo...2         SET     274     0.024351    0.0029175     0.049909      0.31281 Curated_gene_sets:grade_colon_and_rectal_cancer_up
Curated_gene_sets:grade_colo...1         SET      97     0.094005    0.0067332     0.086784      0.13937 Curated_gene_sets:grade_colon_and_rectal_cancer_dn
Curated_gene_sets:grade_colo...4         SET      36    -0.056494   -0.0024691       0.1501      0.64668 Curated_gene_sets:grade_colon_vs_rectal_cancer_up
Curated_gene_sets:grade_colo...3         SET      52     -0.17961   -0.0094308      0.11077      0.94754 Curated_gene_sets:grade_colon_vs_rectal_cancer_dn
Curated_gene_sets:boquest_st...4         SET     245    -0.021784   -0.0024699     0.059234      0.64347 Curated_gene_sets:boquest_stem_cell_up
Curated_gene_sets:boquest_st...3         SET     213    -0.012701   -0.0013438     0.063521      0.57924 Curated_gene_sets:boquest_stem_cell_dn
Curated_gene_sets:boquest_st...2         SET     406      0.04767    0.0069275     0.044283      0.14086 Curated_gene_sets:boquest_stem_cell_cultured_vs_fresh_up
Curated_gene_sets:boquest_st...1         SET      30     0.073889    0.0029485      0.16591      0.32804 Curated_gene_sets:boquest_stem_cell_cultured_vs_fresh_dn
Curated_gene_sets:nakamura_m...1         SET      43     0.078756    0.0037612      0.12868      0.27027 Curated_gene_sets:nakamura_metastasis
Curated_gene_sets:nakamura_m...3         SET      39    -0.027171   -0.0012359      0.12966      0.58299 Curated_gene_sets:nakamura_metastasis_model_up
Curated_gene_sets:nakamura_m...2         SET      42     0.033616    0.0015867      0.14307      0.40712 Curated_gene_sets:nakamura_metastasis_model_dn
Curated_gene_sets:gratias_re...          SET      18      0.19003    0.0058756      0.22764      0.20193 Curated_gene_sets:gratias_retinoblastoma_16q24
Curated_gene_sets:west_adren...6         SET     291    0.0059369   0.00073271     0.049453      0.45222 Curated_gene_sets:west_adrenocortical_tumor_up
Curated_gene_sets:west_adren...3         SET     497     0.058018    0.0093053     0.038335     0.065095 Curated_gene_sets:west_adrenocortical_tumor_dn
Curated_gene_sets:west_adren...2         SET      17     0.083767    0.0025171      0.20295       0.3399 Curated_gene_sets:west_adrenocortical_carcinoma_vs_adenoma_up
Curated_gene_sets:west_adren...1         SET      24     0.056648    0.0020222      0.18446      0.37939 Curated_gene_sets:west_adrenocortical_carcinoma_vs_adenoma_dn
Curated_gene_sets:donato_cel...          SET       6      0.07149    0.0012766      0.38708      0.42674 Curated_gene_sets:donato_cell_cycle_tretinoin
Curated_gene_sets:cho_nr4a1_...          SET      29     0.027851    0.0010927      0.14832      0.42553 Curated_gene_sets:cho_nr4a1_targets
Curated_gene_sets:bhati_g2m_...2         SET     112     -0.10588    -0.008146     0.075889      0.91852 Curated_gene_sets:bhati_g2m_arrest_by_2methoxyestradiol_up
Curated_gene_sets:bhati_g2m_...1         SET     119     0.025081    0.0019886     0.074688      0.36851 Curated_gene_sets:bhati_g2m_arrest_by_2methoxyestradiol_dn
Curated_gene_sets:climent_br...2         SET      23     0.081009     0.002831      0.18151      0.32769 Curated_gene_sets:climent_breast_cancer_copy_number_up
Curated_gene_sets:climent_br...1         SET       9     -0.15379   -0.0033631       0.3364      0.67622 Curated_gene_sets:climent_breast_cancer_copy_number_dn
Curated_gene_sets:sharma_pil...2         SET      27     -0.10498   -0.0039745      0.17887      0.72137 Curated_gene_sets:sharma_pilocytic_astrocytoma_location_up
Curated_gene_sets:sharma_pil...1         SET       7      0.13073    0.0025215      0.32783      0.34503 Curated_gene_sets:sharma_pilocytic_astrocytoma_location_dn
Curated_gene_sets:tsuda_alve...          SET      10     -0.37055   -0.0085416      0.25065      0.93034 Curated_gene_sets:tsuda_alveolar_soft_part_sarcoma
Curated_gene_sets:ray_tumori...2         SET     187    -0.013525   -0.0013419     0.062501      0.58566 Curated_gene_sets:ray_tumorigenesis_by_erbb2_cdc25a_up
Curated_gene_sets:ray_tumori...1         SET     252     0.058138     0.006684     0.055433      0.14715 Curated_gene_sets:ray_tumorigenesis_by_erbb2_cdc25a_dn
Curated_gene_sets:yague_pret...2         SET       7     -0.14482   -0.0027931      0.34224       0.6639 Curated_gene_sets:yague_pretumor_drug_resistance_up
Curated_gene_sets:yague_pret...1         SET      13     -0.34256   -0.0090025      0.25216      0.91284 Curated_gene_sets:yague_pretumor_drug_resistance_dn
Curated_gene_sets:brueckner_...2         SET     102     -0.11269   -0.0082759     0.091915       0.8899 Curated_gene_sets:brueckner_targets_of_mirlet7a3_up
Curated_gene_sets:brueckner_...1         SET      72    -0.068011   -0.0041997      0.10394      0.74354 Curated_gene_sets:brueckner_targets_of_mirlet7a3_dn
Curated_gene_sets:podar_resp...2         SET     136     0.017316    0.0014671      0.07551      0.40931 Curated_gene_sets:podar_response_to_adaphostin_up
Curated_gene_sets:podar_resp...1         SET      18      0.41566     0.012852      0.20404     0.020823 Curated_gene_sets:podar_response_to_adaphostin_dn
Curated_gene_sets:lu_tumor_e...2         SET      20     -0.61143    -0.019927      0.20554      0.99853 Curated_gene_sets:lu_tumor_endothelial_markers_up
Curated_gene_sets:lu_tumor_e...1         SET       4     0.076575    0.0011165      0.43692      0.43044 Curated_gene_sets:lu_tumor_endothelial_markers_dn
Curated_gene_sets:lu_tumor_a...          SET      25     0.015109   0.00055044      0.17974      0.46651 Curated_gene_sets:lu_tumor_angiogenesis_up
Curated_gene_sets:lin_tumor_...          SET      18     -0.11047   -0.0034158      0.21093      0.69977 Curated_gene_sets:lin_tumor_escape_from_immune_attack
Curated_gene_sets:chen_hoxa5...2         SET       9    -0.050673   -0.0011082      0.31598       0.5637 Curated_gene_sets:chen_hoxa5_targets_6hr_up
Curated_gene_sets:chen_hoxa5...1         SET       4      0.19573    0.0028539      0.41004      0.31656 Curated_gene_sets:chen_hoxa5_targets_6hr_dn
Curated_gene_sets:chen_hoxa5...4         SET     218    -0.093807     -0.01004      0.06072      0.93881 Curated_gene_sets:chen_hoxa5_targets_9hr_up
Curated_gene_sets:chen_hoxa5...3         SET      40     -0.19899   -0.0091667      0.13116      0.93539 Curated_gene_sets:chen_hoxa5_targets_9hr_dn
Curated_gene_sets:lin_npas4_...2         SET     164   -0.0093192  -0.00086638     0.067092      0.55524 Curated_gene_sets:lin_npas4_targets_up
Curated_gene_sets:lin_npas4_...1         SET      68     0.027688    0.0016618      0.10665      0.39758 Curated_gene_sets:lin_npas4_targets_dn
Curated_gene_sets:cadwell_at...2         SET      95    -0.060895   -0.0043166     0.087994      0.75554 Curated_gene_sets:cadwell_atg16l1_targets_up
Curated_gene_sets:cadwell_at...1         SET      60     -0.07007   -0.0039511      0.10899      0.73985 Curated_gene_sets:cadwell_atg16l1_targets_dn
Curated_gene_sets:bredemeyer...2         SET      60     -0.14699   -0.0082884      0.11038       0.9085 Curated_gene_sets:bredemeyer_rag_signaling_not_via_atm_up
Curated_gene_sets:bredemeyer...1         SET      54      0.01739   0.00093044      0.11374      0.43924 Curated_gene_sets:bredemeyer_rag_signaling_not_via_atm_dn
Curated_gene_sets:bredemeyer...4         SET      48      0.21788     0.010992      0.12527     0.041005 Curated_gene_sets:bredemeyer_rag_signaling_via_atm_not_via_nfkb_up
Curated_gene_sets:bredemeyer...3         SET      37     -0.16518   -0.0073189      0.14973      0.86502 Curated_gene_sets:bredemeyer_rag_signaling_via_atm_not_via_nfkb_dn
Curated_gene_sets:conrad_ste...          SET      37     0.064105    0.0028404      0.14289      0.32685 Curated_gene_sets:conrad_stem_cell
Curated_gene_sets:conrad_ger...          SET       9        0.192    0.0041987      0.27533       0.2428 Curated_gene_sets:conrad_germline_stem_cell
Curated_gene_sets:thum_mir21...2         SET      17   -0.0029511  -8.8679e-05      0.20427      0.50576 Curated_gene_sets:thum_mir21_targets_heart_disease_up
Curated_gene_sets:thum_mir21...1         SET       8      0.63526     0.013098      0.31641     0.022347 Curated_gene_sets:thum_mir21_targets_heart_disease_dn
Curated_gene_sets:kuuselo_pa...          SET      33    -0.013402  -0.00056087      0.28898       0.5185 Curated_gene_sets:kuuselo_pancreatic_cancer_19q13_amplification
Curated_gene_sets:huang_dasa...2         SET      78     0.070331    0.0045196      0.10687      0.25525 Curated_gene_sets:huang_dasatinib_resistance_up
Curated_gene_sets:huang_dasa...1         SET      69    0.0041461   0.00025065      0.10642      0.48446 Curated_gene_sets:huang_dasatinib_resistance_dn
Curated_gene_sets:matthews_s...          SET      16    -0.086411   -0.0025191      0.19138      0.67419 Curated_gene_sets:matthews_skin_carcinogenesis_via_jun
Curated_gene_sets:matthews_a...          SET      16      0.17156    0.0050015      0.23227      0.23007 Curated_gene_sets:matthews_ap1_targets
Curated_gene_sets:qi_plasmac...2         SET     244    -0.069814   -0.0078997     0.057041       0.8895 Curated_gene_sets:qi_plasmacytoma_up
Curated_gene_sets:qi_plasmac...1         SET      93    -0.060166   -0.0042201     0.086669      0.75622 Curated_gene_sets:qi_plasmacytoma_dn
Curated_gene_sets:taylor_met...          SET      79     -0.11002   -0.0071147       0.1017       0.8603 Curated_gene_sets:taylor_methylated_in_acute_lymphoblastic_leukemia
Curated_gene_sets:chng_multi...2         SET      52        0.266     0.013966      0.10616    0.0061151 Curated_gene_sets:chng_multiple_myeloma_hyperploid_up
Curated_gene_sets:chng_multi...1         SET      30       0.2839     0.011329      0.14306     0.023612 Curated_gene_sets:chng_multiple_myeloma_hyperploid_dn
Curated_gene_sets:huper_brea...2         SET      53     -0.12808   -0.0067891      0.12136      0.85437 Curated_gene_sets:huper_breast_basal_vs_luminal_up
Curated_gene_sets:huper_brea...1         SET      56      0.21053      0.01147      0.12217     0.042428 Curated_gene_sets:huper_breast_basal_vs_luminal_dn
Curated_gene_sets:maloney_re...2         SET      38    -0.030261   -0.0013588      0.14187      0.58445 Curated_gene_sets:maloney_response_to_17aag_up
Curated_gene_sets:maloney_re...1         SET      74    -0.092518   -0.0057915     0.094833      0.83536 Curated_gene_sets:maloney_response_to_17aag_dn
Curated_gene_sets:cui_glucos...          SET      61     0.072792    0.0041385      0.10589      0.24592 Curated_gene_sets:cui_glucose_deprivation
Curated_gene_sets:blum_respo...2         SET     235    -0.060363   -0.0067047     0.053231      0.87159 Curated_gene_sets:blum_response_to_salirasib_up
Curated_gene_sets:blum_respo...1         SET     324      0.10299       0.0134     0.047402     0.014905 Curated_gene_sets:blum_response_to_salirasib_dn
Curated_gene_sets:winter_hyp...2         SET     223     0.029307     0.003172     0.058587      0.30846 Curated_gene_sets:winter_hypoxia_metagene
Curated_gene_sets:alonso_met...3         SET      34     -0.24334    -0.010336      0.16213      0.93329 Curated_gene_sets:alonso_metastasis_emt_up
Curated_gene_sets:alonso_met...2         SET       5      0.54951     0.008958      0.45535      0.11377 Curated_gene_sets:alonso_metastasis_emt_dn
Curated_gene_sets:alonso_met...4         SET      16     0.019266   0.00056167      0.21788      0.46477 Curated_gene_sets:alonso_metastasis_neural_up
Curated_gene_sets:alonso_met...5         SET     188    -0.089408   -0.0088936      0.06469      0.91652 Curated_gene_sets:alonso_metastasis_up
Curated_gene_sets:alonso_met...1         SET      24     -0.12069   -0.0043083      0.17535      0.75435 Curated_gene_sets:alonso_metastasis_dn
Curated_gene_sets:cromer_tum...2         SET      53     0.087722    0.0046499       0.1268      0.24454 Curated_gene_sets:cromer_tumorigenesis_up
Curated_gene_sets:cromer_tum...1         SET      46      0.10381    0.0051272      0.14006      0.22929 Curated_gene_sets:cromer_tumorigenesis_dn
Curated_gene_sets:krishnan_f...2         SET       8      0.13079    0.0026967      0.33757      0.34922 Curated_gene_sets:krishnan_furin_targets_up
Curated_gene_sets:krishnan_f...1         SET      10   -0.0021951    -5.06e-05      0.21611      0.50405 Curated_gene_sets:krishnan_furin_targets_dn
Curated_gene_sets:mueller_pl...          SET     293  -0.00035208  -4.3598e-05     0.047412      0.50296 Curated_gene_sets:mueller_plurinet
Curated_gene_sets:yauch_hedg...2         SET     130    -0.053277   -0.0044138     0.075442      0.75996 Curated_gene_sets:yauch_hedgehog_signaling_paracrine_up
Curated_gene_sets:yauch_hedg...1         SET     232    0.0069882    0.0007713     0.058888      0.45277 Curated_gene_sets:yauch_hedgehog_signaling_paracrine_dn
Curated_gene_sets:firestein_...2         SET       6   -0.0052512  -9.3771e-05      0.38028      0.50551 Curated_gene_sets:firestein_ctnnb1_pathway_and_proliferation
Curated_gene_sets:firestein_...1         SET      25     0.064412    0.0023467      0.18569      0.36434 Curated_gene_sets:firestein_ctnnb1_pathway
Curated_gene_sets:firestein_...3         SET     153   -0.0036105  -0.00032429     0.068697      0.52096 Curated_gene_sets:firestein_proliferation
Curated_gene_sets:zhou_pancr...3         SET      10     -0.39715   -0.0091547      0.31501      0.89629 Curated_gene_sets:zhou_pancreatic_exocrine_progenitor
Curated_gene_sets:zhou_pancr...2         SET      12      0.50362     0.012716      0.25093     0.022382 Curated_gene_sets:zhou_pancreatic_endocrine_progenitor
Curated_gene_sets:zhou_pancr...1         SET      11     0.031455   0.00076044      0.29907      0.45812 Curated_gene_sets:zhou_pancreatic_beta_cell
Curated_gene_sets:ishikawa_s...          SET      10     -0.25024   -0.0057683      0.26186      0.83036 Curated_gene_sets:ishikawa_sting_signaling
Curated_gene_sets:wang_tumor...2         SET     357    -0.064679   -0.0088256     0.042496      0.93599 Curated_gene_sets:wang_tumor_invasiveness_up
Curated_gene_sets:wang_tumor...1         SET     197   -0.0087494   -0.0008907     0.059316      0.55863 Curated_gene_sets:wang_tumor_invasiveness_dn
Curated_gene_sets:jiang_tip3...2         SET      44    -0.024004   -0.0011596      0.14501      0.56574 Curated_gene_sets:jiang_tip30_targets_up
Curated_gene_sets:jiang_tip3...1         SET      23    -0.067703    -0.002366      0.17445      0.65103 Curated_gene_sets:jiang_tip30_targets_dn
Curated_gene_sets:greshock_c...          SET     323     0.036423    0.0047318     0.049128      0.22923 Curated_gene_sets:greshock_cancer_copy_number_up
Curated_gene_sets:wang_neopl...          SET      16     -0.34382    -0.010023      0.25011      0.91538 Curated_gene_sets:wang_neoplastic_transformation_by_ccnd1_myc
Curated_gene_sets:tsai_respo...2         SET      32     -0.36406    -0.015003      0.16195       0.9877 Curated_gene_sets:tsai_response_to_radiation_therapy
Curated_gene_sets:sasai_targ...2         SET      12      0.12073    0.0030484      0.25967      0.32099 Curated_gene_sets:sasai_targets_of_cxcr6_and_ptch1_up
Curated_gene_sets:sasai_targ...1         SET       8     -0.10928   -0.0022533      0.32831      0.63038 Curated_gene_sets:sasai_targets_of_cxcr6_and_ptch1_dn
Curated_gene_sets:miki_coexp...          SET       6      -0.2813   -0.0050233      0.30993      0.81796 Curated_gene_sets:miki_coexpressed_with_cyp19a1
Curated_gene_sets:beier_glio...2         SET      37     -0.27189    -0.012047       0.1378      0.97575 Curated_gene_sets:beier_glioma_stem_cell_up
Curated_gene_sets:beier_glio...1         SET      63    -0.027476   -0.0015875      0.10206      0.60611 Curated_gene_sets:beier_glioma_stem_cell_dn
Curated_gene_sets:vart_kshv_...2         SET     156    -0.019557   -0.0017736     0.074297      0.60381 Curated_gene_sets:vart_kshv_infection_angiogenic_markers_up
Curated_gene_sets:vart_kshv_...1         SET     127    0.0094091   0.00077052      0.08163      0.45412 Curated_gene_sets:vart_kshv_infection_angiogenic_markers_dn
Curated_gene_sets:mootha_hum...          SET     410   -0.0080884   -0.0011811       0.0407      0.57876 Curated_gene_sets:mootha_human_mitodb_6_2002
Curated_gene_sets:mootha_pgc             SET     409     0.014067    0.0020516     0.041019      0.36583 Curated_gene_sets:mootha_pgc
Curated_gene_sets:mootha_tca             SET      15      0.20204    0.0057032      0.21814      0.17718 Curated_gene_sets:mootha_tca
Curated_gene_sets:lee_liver_...16        SET     174    0.0046811   0.00044814     0.063778      0.47075 Curated_gene_sets:lee_liver_cancer_survival_dn
Curated_gene_sets:lee_liver_...17        SET     173     0.039764    0.0037958     0.063889      0.26685 Curated_gene_sets:lee_liver_cancer_survival_up
Curated_gene_sets:mootha_mit...          SET     430    -0.052399   -0.0078315     0.040065      0.90453 Curated_gene_sets:mootha_mitochondria
Curated_gene_sets:mootha_ros             SET       7     -0.19559   -0.0037725      0.31859      0.73037 Curated_gene_sets:mootha_ros
Curated_gene_sets:davies_mul...2         SET      13     -0.18623   -0.0048942      0.21111      0.81115 Curated_gene_sets:davies_multiple_myeloma_vs_mgus_up
Curated_gene_sets:davies_mul...1         SET      23     -0.44129    -0.015421      0.18267      0.99214 Curated_gene_sets:davies_multiple_myeloma_vs_mgus_dn
Curated_gene_sets:boylan_mul...2         SET      33     0.054211    0.0022686      0.13964      0.34893 Curated_gene_sets:boylan_multiple_myeloma_c_cluster_up
Curated_gene_sets:boylan_mul...1         SET      27    -0.066171   -0.0025052      0.17136      0.65031 Curated_gene_sets:boylan_multiple_myeloma_c_cluster_dn
Curated_gene_sets:boylan_mul...8         SET      26     0.030229    0.0011231      0.18196      0.43403 Curated_gene_sets:boylan_multiple_myeloma_d_cluster_up
Curated_gene_sets:boylan_mul...7         SET      32    -0.067651   -0.0027879      0.15653       0.6672 Curated_gene_sets:boylan_multiple_myeloma_d_cluster_dn
Curated_gene_sets:boylan_mul...10        SET      88      0.05738    0.0039155     0.089274       0.2602 Curated_gene_sets:boylan_multiple_myeloma_d_up
Curated_gene_sets:boylan_mul...9         SET      70     0.096153    0.0058548       0.1098      0.19061 Curated_gene_sets:boylan_multiple_myeloma_d_dn
Curated_gene_sets:boylan_mul...4         SET     132     0.097385    0.0081294     0.075921     0.099806 Curated_gene_sets:boylan_multiple_myeloma_c_d_up
Curated_gene_sets:boylan_mul...3         SET     250    -0.023374   -0.0026767     0.057143      0.65874 Curated_gene_sets:boylan_multiple_myeloma_c_d_dn
Curated_gene_sets:boylan_mul...6         SET      46     0.020698    0.0010223      0.13923      0.44091 Curated_gene_sets:boylan_multiple_myeloma_c_up
Curated_gene_sets:boylan_mul...5         SET      51     -0.14238   -0.0074035      0.12143       0.8795 Curated_gene_sets:boylan_multiple_myeloma_c_dn
Curated_gene_sets:wu_silence...          SET      50    -0.077822    -0.004007      0.12396      0.73494 Curated_gene_sets:wu_silenced_by_methylation_in_bladder_cancer
Curated_gene_sets:ferrari_re...2         SET      21    -0.084509   -0.0028221      0.20814      0.65764 Curated_gene_sets:ferrari_response_to_fenretinide_up
Curated_gene_sets:ferrari_re...1         SET       5    -0.059962  -0.00097748      0.41458       0.5575 Curated_gene_sets:ferrari_response_to_fenretinide_dn
Curated_gene_sets:hellebreke...          SET      75     -0.11993   -0.0075578      0.10244      0.87914 Curated_gene_sets:hellebrekers_silenced_during_tumor_angiogenesis
Curated_gene_sets:reichert_g...          SET       8     -0.14257   -0.0029396      0.23564      0.72742 Curated_gene_sets:reichert_g1s_regulators_as_pi3k_targets
Curated_gene_sets:gu_pdef_ta...2         SET      69    0.0053274   0.00032207      0.11625      0.48172 Curated_gene_sets:gu_pdef_targets_up
Curated_gene_sets:gu_pdef_ta...1         SET      38     -0.14284   -0.0064139      0.15289      0.82492 Curated_gene_sets:gu_pdef_targets_dn
Curated_gene_sets:tooker_gem...2         SET      79     -0.11972   -0.0077425     0.089055      0.91057 Curated_gene_sets:tooker_gemcitabine_resistance_up
Curated_gene_sets:tooker_gem...1         SET     120     -0.11627    -0.009257     0.078837      0.92986 Curated_gene_sets:tooker_gemcitabine_resistance_dn
Curated_gene_sets:bohn_prima...2         SET      45    -0.047457   -0.0023184      0.11668       0.6579 Curated_gene_sets:bohn_primary_immunodeficiency_syndrom_up
Curated_gene_sets:bohn_prima...1         SET      37      0.15752    0.0069794      0.14507      0.13879 Curated_gene_sets:bohn_primary_immunodeficiency_syndrom_dn
Curated_gene_sets:flotho_ped...2         SET      52     0.077806    0.0040853      0.11391      0.24729 Curated_gene_sets:flotho_pediatric_all_therapy_response_up
Curated_gene_sets:flotho_ped...1         SET      28    -0.022314  -0.00086029      0.16107      0.55509 Curated_gene_sets:flotho_pediatric_all_therapy_response_dn
Curated_gene_sets:vilimas_no...2         SET      52    -0.091535   -0.0048061      0.12551      0.76709 Curated_gene_sets:vilimas_notch1_targets_up
Curated_gene_sets:vilimas_no...1         SET      25    -0.016611  -0.00060519      0.18589       0.5356 Curated_gene_sets:vilimas_notch1_targets_dn
Curated_gene_sets:spira_smok...2         SET      35      0.12284     0.005294      0.14034       0.1907 Curated_gene_sets:spira_smokers_lung_cancer_up
Curated_gene_sets:spira_smok...1         SET      14      0.35547    0.0096942      0.21651     0.050323 Curated_gene_sets:spira_smokers_lung_cancer_dn
Curated_gene_sets:ludwiczek_...          SET       7     -0.26905   -0.0051893      0.33507        0.789 Curated_gene_sets:ludwiczek_treating_iron_overload
Curated_gene_sets:ju_aging_t...2         SET      11     -0.21858   -0.0052842      0.24531      0.81353 Curated_gene_sets:ju_aging_terc_targets_up
Curated_gene_sets:ju_aging_t...1         SET       6      0.13156    0.0023493       0.3501      0.35354 Curated_gene_sets:ju_aging_terc_targets_dn
Curated_gene_sets:zaidi_oste...          SET      13      0.20931    0.0055007      0.25528      0.20614 Curated_gene_sets:zaidi_osteoblast_transcription_factors
Curated_gene_sets:wagner_apo...          SET      26     -0.17843   -0.0066291      0.18703      0.82995 Curated_gene_sets:wagner_apo2_sensitivity
Curated_gene_sets:palomero_g...2         SET       7    -0.016305  -0.00031448       0.3178      0.52046 Curated_gene_sets:palomero_gsi_sensitivity_up
Curated_gene_sets:palomero_g...1         SET       4      0.41905    0.0061102      0.49826      0.20018 Curated_gene_sets:palomero_gsi_sensitivity_dn
