GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000180251	2	103089762	103150431	252	16	292485	0.34965	0.3633	SLC9A4
ENSG00000115616	2	103236166	103327777	190	25	292485	-0.46959	0.68068	SLC9A2
ENSG00000135953	2	103332299	103353347	37	6	292485	-1.6597	0.95151	MFSD9
ENSG00000170417	2	103353367	103460352	232	16	292485	-1.1977	0.88448	TMEM182
ENSG00000198914	2	105471969	105476929	7	2	292485	-0.56336	0.7134	POU3F3
ENSG00000135972	2	105654441	105716418	251	8	292485	0.5389	0.29498	MRPS9
ENSG00000135973	2	105858200	105859924	1	1	292485	-0.60886	0.72869	GPR45
ENSG00000268556	2	105867759	105869601	4	1	292485	0.63646	0.26224	AC012360.1
ENSG00000135966	2	105880871	105946491	213	25	292485	0.013035	0.4948	TGFBRAP1
ENSG00000135974	2	105953816	105965668	31	7	292485	0.099592	0.46033	C2orf49
ENSG00000115641	2	105974169	106054970	271	44	292485	0.83092	0.20301	FHL2
ENSG00000071051	2	106361354	106510730	577	33	292485	1.3593	0.087022	NCK2
ENSG00000119147	2	106679702	106694615	38	11	292485	-0.099131	0.53948	C2orf40
ENSG00000115652	2	106709759	106810795	259	33	292485	-1.3762	0.91561	UXS1
ENSG00000153165	2	107021446	107084832	21	8	292485	0.46597	0.32062	RGPD3
ENSG00000269000	2	107099728	107103848	14	4	292485	-0.29734	0.6169	AC108868.1
ENSG00000144057	2	107418056	107503564	335	28	292485	1.0119	0.1558	ST6GAL2
ENSG00000196862	2	108443388	108507297	48	5	292485	-0.26319	0.6038	RGPD4
ENSG00000115665	2	108602979	108630450	74	20	292485	0.20751	0.41781	SLC5A7
ENSG00000196228	2	108863651	108881807	57	10	292485	0.072735	0.47101	SULT1C3
ENSG00000198203	2	108905095	108926371	63	11	292485	0.38161	0.35138	SULT1C2
ENSG00000198075	2	108994367	109004513	20	4	292485	-1.2463	0.89368	SULT1C4
ENSG00000135968	2	109065017	109125871	253	17	292485	-1.9096	0.9719	GCC2
ENSG00000169756	2	109150857	109303702	447	31	292485	-0.54314	0.70648	LIMS1
ENSG00000153201	2	109335937	109402267	117	7	292485	-0.79183	0.78577	RANBP2
ENSG00000163006	2	109403213	109501933	220	14	292485	-0.52087	0.69877	CCDC138
ENSG00000135960	2	109510927	109605828	356	33	292485	0.59963	0.27438	EDAR
ENSG00000172985	2	109745804	110262207	1216	84	292485	-1.5138	0.93496	SH3RF3
ENSG00000186522	2	110300559	110371783	201	20	292485	0.94427	0.17252	SEPT10
ENSG00000198142	2	110371911	110376563	10	3	292485	1.2485	0.10593	SOWAHC
ENSG00000144063	2	110841447	110874143	43	9	292485	1.5945	0.055411	MALL
ENSG00000144061	2	110879888	110962643	161	10	292485	1.7309	0.041733	NPHP1
ENSG00000169679	2	111395275	111435691	33	5	292485	1.7935	0.036449	BUB1
ENSG00000153093	2	111490150	111875799	1133	66	292485	0.97675	0.16435	ACOXL
ENSG00000153094	2	111876955	111926024	101	14	292485	-0.8545	0.80359	BCL2L11
ENSG00000153107	2	112523848	112642267	278	16	292485	-0.18177	0.57212	ANAPC1
ENSG00000153208	2	112656056	112787138	496	25	292485	-1.4719	0.92947	MERTK
ENSG00000153214	2	112812800	112876895	176	24	292485	-0.21163	0.5838	TMEM87B
ENSG00000144152	2	112895962	112945791	145	23	292485	0.89704	0.18485	FBLN7
ENSG00000144161	2	112969102	113012713	62	9	292485	-0.23858	0.59429	ZC3H8
ENSG00000188177	2	113033171	113097640	144	11	292485	1.7718	0.03821	ZC3H6
ENSG00000169629	2	113127669	113192065	28	5	292485	-1.2579	0.89579	RGPD8
ENSG00000114999	2	113239731	113299316	149	13	292485	-1.6613	0.95167	TTL
ENSG00000125630	2	113299492	113334635	113	11	292485	-0.42768	0.66556	POLR1B
ENSG00000125611	2	113341817	113346852	11	3	292485	-0.56629	0.7144	CHCHD5
ENSG00000144136	2	113403434	113421404	41	6	292485	-0.6149	0.73069	SLC20A1
ENSG00000144130	2	113479063	113500456	48	6	292485	0.8708	0.19193	NT5DC4
ENSG00000169607	2	113493930	113522254	57	7	292485	1.2375	0.10796	CKAP2L
ENSG00000115008	2	113531492	113542167	33	4	292485	-0.42893	0.66601	IL1A
ENSG00000125538	2	113587328	113594480	12	3	292485	-0.5055	0.6934	IL1B
ENSG00000125571	2	113670548	113676459	47	3	292485	-0.16391	0.5651	IL37
ENSG00000136688	2	113730780	113743242	20	5	292485	-1.4441	0.92565	IL36G
ENSG00000136694	2	113763038	113765621	6	2	292485	-1.2824	0.90015	IL36A
ENSG00000136696	2	113779668	113810444	107	12	292485	0.36617	0.35712	IL36B
ENSG00000136695	2	113816215	113822959	47	3	292485	0.63155	0.26384	IL36RN
ENSG00000136697	2	113825547	113833427	38	8	292485	0.95654	0.1694	IL1F10
ENSG00000136689	2	113864791	113891593	120	9	292485	-1.1404	0.87294	IL1RN
ENSG00000125637	2	113914902	113966973	150	29	292485	-1.5875	0.9438	PSD4
ENSG00000125618	2	113973574	114036527	211	21	292485	-0.76697	0.77845	PAX8
ENSG00000136682	2	114195268	114253766	52	2	292485	1.8675	0.030919	CBWD2
ENSG00000144134	2	114384806	114400973	49	8	292485	-1.1084	0.86615	RABL2A
ENSG00000115084	2	114462588	114514400	177	16	292485	-1.6227	0.94767	SLC35F5
ENSG00000115091	2	114647537	114720173	271	18	292485	-0.88473	0.81185	ACTR3
ENSG00000175497	2	115199876	116603328	3750	154	292485	0.30641	0.37965	DPP10
ENSG00000088205	2	118572226	118589955	54	11	292485	-0.17852	0.57084	DDX18
ENSG00000125633	2	118673054	118771709	354	28	292485	1.7988	0.036024	CCDC93
ENSG00000125629	2	118846028	118868573	49	16	292485	0.85307	0.19681	INSIG2
ENSG00000163064	2	119599747	119605254	6	3	292485	-0.5083	0.69438	EN1
ENSG00000019169	2	119699742	119752236	190	20	292485	1.4174	0.078181	MARCO
ENSG00000144119	2	119913819	119916465	10	3	292485	0.87251	0.19147	C1QL2
ENSG00000115107	2	119981384	120023228	158	22	292485	0.26718	0.39466	STEAP3
ENSG00000186132	2	120059801	120124404	240	27	292485	1.8242	0.034064	C2orf76
ENSG00000155368	2	120124497	120130126	25	5	292485	1.1476	0.12557	DBI
ENSG00000171227	2	120187477	120196096	36	6	292485	0.56841	0.28488	TMEM37
ENSG00000080293	2	120197419	120282070	281	26	292485	0.39693	0.34571	SCTR
ENSG00000163075	2	120302008	120419827	216	19	292485	-1.6053	0.94579	PCDP1
ENSG00000144120	2	120436743	120444083	38	6	292485	-1.0163	0.84525	TMEM177
ENSG00000088179	2	120517207	120741394	457	28	292485	0.058151	0.47681	PTPN4
ENSG00000115109	2	120770581	120936695	348	16	292485	-1.0209	0.84635	EPB41L5
ENSG00000226479	2	120978854	120980984	5	2	292485	-1.2397	0.89246	TMEM185B
ENSG00000144118	2	120997640	121052289	215	11	292485	-1.8696	0.96923	RALB
ENSG00000163083	2	121103719	121109384	5	2	292485	1.0969	0.13635	INHBB
ENSG00000268194	2	121221911	121223697	6	2	292485	1.1115	0.13317	LINC01101
ENSG00000074047	2	121493199	121750229	681	84	292485	-1.3222	0.90695	GLI2
ENSG00000115112	2	121974163	122042783	155	22	292485	-0.91477	0.81984	TFCP2L1
ENSG00000074054	2	122095352	122407163	781	15	292485	-0.65905	0.74507	CLASP1
ENSG00000155438	2	122484521	122494499	26	3	292485	0.51613	0.30288	NIFK
ENSG00000211460	2	122494679	122525429	45	7	292485	0.4375	0.33087	TSN
ENSG00000155052	2	124782864	125672864	2819	150	292485	1.5974	0.055084	CNTNAP5
ENSG00000136732	2	127413509	127454246	177	28	292485	-1.2941	0.90218	GYPC
ENSG00000237524	2	127656472	127659673	15	2	292485	2.1419	0.016101	AC114783.1
ENSG00000136717	2	127805603	127864931	244	29	292485	-1.2452	0.89348	BIN1
ENSG00000186684	2	127941696	127977654	114	15	292485	1.2413	0.10725	CYP27C1
ENSG00000163161	2	128014866	128051752	99	18	292485	1.896	0.028982	ERCC3
ENSG00000169967	2	128056306	128146041	267	24	292485	1.3717	0.085072	MAP3K2
ENSG00000115718	2	128176003	128186822	31	6	292485	2.0528	0.020045	PROC
ENSG00000163166	2	128193783	128284462	243	22	292485	1.8716	0.03063	IWS1
ENSG00000169994	2	128293378	128395304	308	35	292485	1.0581	0.145	MYO7B
ENSG00000072163	2	128395956	128439360	157	28	292485	-1.0246	0.84723	LIMS2
ENSG00000144230	2	128403439	128410213	16	6	292485	-0.16428	0.56524	GPR17
ENSG00000136709	2	128458596	128568761	302	32	292485	0.36617	0.35712	WDR33
ENSG00000173349	2	128458597	128461385	9	4	292485	0.68235	0.24751	SFT2D3
ENSG00000144231	2	128603840	128615731	42	7	292485	-0.18936	0.57509	POLR2D
ENSG00000144233	2	128619204	128643496	53	8	292485	0.40561	0.34251	AMMECR1L
ENSG00000136715	2	128698791	128785694	189	17	292485	0.47416	0.31769	SAP130
ENSG00000136731	2	128848774	128953251	290	19	292485	0.65433	0.25645	UGGT1
ENSG00000136720	2	128994290	129076151	293	43	292485	1.7461	0.040398	HS6ST1
ENSG00000222014	2	130737235	130740311	7	1	292485	-1.1041	0.86523	RAB6C
ENSG00000196604	2	130831108	130886795	35	1	292485	-1.2352	0.89163	POTEF
ENSG00000152076	2	130896860	130902707	13	3	292485	0.07807	0.46889	CCDC74B
ENSG00000136699	2	130908981	130940323	45	2	292485	-0.53666	0.70425	SMPD4
ENSG00000152082	2	130939310	130948302	28	3	292485	-0.66821	0.748	MZT2B
ENSG00000152086	2	130949318	130956034	9	1	292485	-0.62114	0.73275	TUBA3E
ENSG00000136710	2	131095814	131099922	4	2	292485	-0.47074	0.68109	CCDC115
ENSG00000136718	2	131099798	131105383	9	4	292485	0.19458	0.42286	IMP4
ENSG00000072135	2	131113580	131132982	28	2	292485	-0.24941	0.59848	PTPN18
ENSG00000222038	2	131369054	131415664	1	1	292485	1.5735	0.057798	POTEJ
ENSG00000173302	2	131486643	131487909	3	1	292485	0.96969	0.1661	GPR148
ENSG00000178171	2	131513008	131525707	9	2	292485	0.18161	0.42794	AMER3
ENSG00000136002	2	131594489	131804836	596	47	292485	0.21677	0.41419	ARHGEF4
ENSG00000152102	2	131805449	131851033	59	5	292485	0.71095	0.23856	FAM168B
ENSG00000115762	2	131862420	132111282	297	9	292485	0.26576	0.39521	PLEKHB2
ENSG00000188219	2	131975882	132022965	1	1	292485	0.47291	0.31814	POTEE
ENSG00000178206	2	132044330	132050127	7	1	292485	0.25466	0.39949	CYP4F31P
ENSG00000173272	2	132222473	132250316	146	7	292485	0.93085	0.17597	MZT2A
ENSG00000075886	2	132233666	132240507	24	1	292485	0.49481	0.31037	TUBA3D
ENSG00000163040	2	132285248	132291239	15	5	292485	1.767	0.038615	CCDC74A
ENSG00000197927	2	132479948	132524973	123	9	292485	-0.40301	0.65653	C2orf27A
ENSG00000186825	2	132552534	132559234	14	2	292485	-0.98677	0.83812	C2orf27B
ENSG00000163046	2	132905164	133015542	52	4	292485	-0.55821	0.71165	ANKRD30BL
ENSG00000183840	2	133174147	133404132	660	56	292485	2.0787	0.018822	GPR39
ENSG00000150551	2	133402426	133429152	65	4	292485	-1.3473	0.91107	LYPD1
ENSG00000176771	2	133429374	134326034	2276	190	292485	0.77714	0.21854	NCKAP5
ENSG00000269686	2	133874577	133876625	8	2	292485	0.037593	0.48501	AC011755.1
ENSG00000152127	2	134877554	135212192	961	88	292485	-1.1593	0.87683	MGAT5
ENSG00000152128	2	135213330	135476570	708	47	292485	0.04223	0.48316	TMEM163
ENSG00000153086	2	135596117	135659604	121	6	292485	-0.97682	0.83567	ACMSD
ENSG00000082258	2	135675805	135716912	88	7	292485	-0.90435	0.8171	CCNT2
ENSG00000176601	2	135722061	135805038	186	13	292485	-0.44521	0.67192	MAP3K19
ENSG00000115839	2	135809835	135933964	191	12	292485	-1.1549	0.87593	RAB3GAP1
ENSG00000121988	2	135894486	136288806	671	12	292485	-1.1407	0.873	ZRANB3
ENSG00000048991	2	136289025	136482840	212	16	292485	-1.3478	0.91114	R3HDM1
ENSG00000144224	2	136499189	136542625	81	9	292485	-0.83952	0.79941	UBXN4
ENSG00000115850	2	136545410	136594750	86	9	292485	-0.22141	0.58761	LCT
ENSG00000076003	2	136597196	136633996	44	6	292485	-0.78777	0.78458	MCM6
ENSG00000115866	2	136664247	136743670	73	4	292485	-0.33792	0.63229	DARS
ENSG00000121966	2	136871919	136875735	5	3	292485	-0.85565	0.8039	CXCR4
ENSG00000144229	2	137523115	138435287	3515	113	292485	-0.23973	0.59473	THSD7B
ENSG00000150540	2	138721590	138773930	101	6	292485	0.3503	0.36306	HNMT
ENSG00000144228	2	139259371	139331117	113	14	292485	-0.074412	0.52966	SPOPL
ENSG00000144227	2	139428342	139537918	356	47	292485	1.723	0.042448	NXPH2
ENSG00000168702	2	140988992	142889270	8380	317	292485	1.3988	0.080937	LRP1B
ENSG00000115919	2	143635067	143799890	480	44	292485	1.8006	0.035885	KYNU
ENSG00000075884	2	143848931	144525921	1683	107	292485	-0.57837	0.71849	ARHGAP15
ENSG00000121964	2	144695635	145090135	566	39	292485	-0.57386	0.71697	GTDC1
ENSG00000169554	2	145141648	145282147	201	36	292485	1.2298	0.10939	ZEB2
ENSG00000121989	2	148602086	148688393	119	13	292485	0.26566	0.39525	ACVR2A
ENSG00000115947	2	148687968	148779147	166	14	292485	-0.41971	0.66265	ORC4
ENSG00000204406	2	148778580	149275805	1140	47	292485	0.18605	0.4262	MBD5
ENSG00000135999	2	149402009	149545130	358	17	292485	0.90039	0.18396	EPC2
ENSG00000168280	2	149632819	149883273	235	12	292485	-1.1851	0.88202	KIF5C
ENSG00000150556	2	149894621	150071776	559	44	292485	-0.031927	0.51273	LYPD6B
ENSG00000187123	2	150186499	150330662	304	29	292485	0.47392	0.31778	LYPD6
ENSG00000168288	2	150426148	150444330	46	6	292485	-1.6468	0.9502	MMADHC
ENSG00000115963	2	151324709	151395525	144	18	292485	0.57274	0.28341	RND3
ENSG00000222031	2	151857734	151905288	215	21	292485	-1.8051	0.96447	AC023469.1
ENSG00000184898	2	152104454	152118393	37	6	292485	-0.66025	0.74545	RBM43
ENSG00000123609	2	152126979	152146571	77	8	292485	-0.47971	0.68428	NMI
ENSG00000123610	2	152214106	152236560	60	6	292485	-0.23906	0.59447	TNFAIP6
ENSG00000080345	2	152266397	152364527	241	22	292485	2.1576	0.015481	RIF1
ENSG00000183091	2	152341850	152591001	466	45	292485	2.5836	0.0048886	NEB
ENSG00000162980	2	152645498	152685006	88	12	292485	0.24846	0.40189	ARL5A
ENSG00000182389	2	152689290	152955593	675	34	292485	2.278	0.011363	CACNB4
ENSG00000115145	2	152973315	153032506	153	13	292485	1.9297	0.02682	STAM2
ENSG00000157827	2	153191751	153506348	997	69	292485	1.0814	0.13977	FMNL2
ENSG00000196504	2	153508107	153574511	173	16	292485	0.75064	0.22643	PRPF40A
ENSG00000177917	2	153574407	153617767	135	17	292485	0.63314	0.26332	ARL6IP6
ENSG00000177519	2	154333852	154335322	1	1	292485	-0.55063	0.70906	RPRM
ENSG00000144278	2	154728426	155310361	1982	70	292485	-0.17357	0.5689	GALNT13
ENSG00000162989	2	155554811	155714863	528	56	292485	0.54816	0.29179	KCNJ3
ENSG00000153234	2	157180944	157198860	20	5	292485	0.69073	0.24487	NR4A2
ENSG00000115159	2	157291802	157470247	404	28	292485	-0.68374	0.75293	GPD2
ENSG00000136542	2	158114110	158170723	110	8	292485	0.44548	0.32799	GALNT5
ENSG00000136541	2	158175137	158184225	13	3	292485	0.37796	0.35273	ERMN
ENSG00000115165	2	158271131	158345473	162	19	292485	0.45698	0.32384	CYTIP
ENSG00000123612	2	158383279	158485517	136	19	292485	0.99753	0.15925	ACVR1C
ENSG00000115170	2	158592958	158732374	196	31	292485	0.67812	0.24885	ACVR1
ENSG00000007001	2	158733214	158992666	762	70	292485	0.435	0.33178	UPP2
ENSG00000153237	2	159027593	159313265	1390	61	292485	0.020481	0.49183	CCDC148
ENSG00000144283	2	159313476	159539391	753	28	292485	0.51825	0.30214	PKP4
ENSG00000163331	2	159651829	159719293	246	24	292485	-0.15411	0.56124	DAPL1
ENSG00000115183	2	159825146	160089170	869	63	292485	-0.54216	0.70614	TANC1
ENSG00000196151	2	160092304	160143310	247	15	292485	0.31314	0.37709	WDSUB1
ENSG00000123636	2	160175490	160473203	919	63	292485	-0.0037775	0.50151	BAZ2B
ENSG00000136536	2	160569000	160627538	253	18	292485	-0.3336	0.63066	MARCH7
ENSG00000241399	2	160625364	160654753	125	15	292485	-0.55466	0.71044	CD302
ENSG00000248672	2	160628362	160761221	511	34	292485	-0.56694	0.71462	LY75-CD302
ENSG00000054219	2	160628362	160761260	511	34	292485	-0.56694	0.71462	LY75
ENSG00000153246	2	160788519	160919121	457	46	292485	0.31663	0.37576	PLA2R1
ENSG00000115221	2	160956177	161128399	547	44	292485	0.4433	0.32877	ITGB6
ENSG00000153250	2	161128662	161350305	575	34	292485	-0.15176	0.56031	RBMS1
ENSG00000136560	2	161993419	162092732	161	12	292485	-0.65376	0.74337	TANK
ENSG00000115233	2	162164549	162268228	166	17	292485	0.68085	0.24798	PSMD14
ENSG00000136535	2	162272605	162282381	7	3	292485	1.5535	0.060152	TBR1
ENSG00000144290	2	162280843	162841792	1288	33	292485	0.20016	0.42068	SLC4A10
ENSG00000197635	2	162848751	162931052	206	25	292485	1.0268	0.15225	DPP4
ENSG00000115263	2	162999392	163008914	10	1	292485	-1.3358	0.90919	GCG
ENSG00000078098	2	163027194	163101661	118	7	292485	-1.5793	0.94287	FAP
ENSG00000115267	2	163123589	163175213	120	5	292485	-0.17139	0.56804	IFIH1
ENSG00000115271	2	163175350	163228105	57	7	292485	-0.66385	0.74661	GCA
ENSG00000184611	2	163227917	163695240	917	55	292485	0.15177	0.43969	KCNH7
ENSG00000182263	2	164449906	164592522	245	31	292485	0.79484	0.21335	FIGN
ENSG00000115290	2	165349322	165478358	218	30	292485	1.255	0.10474	GRB14
ENSG00000082438	2	165510134	165700189	577	34	292485	-0.10053	0.54004	COBLL1
ENSG00000169507	2	165752696	165812035	206	21	292485	-2.0135	0.97797	SLC38A11
ENSG00000153253	2	165944032	166060577	274	22	292485	-1.2357	0.89172	SCN3A
ENSG00000136531	2	166095912	166248818	433	37	292485	2.8736	0.0020294	SCN2A
ENSG00000178662	2	166326157	166545917	466	45	292485	1.6402	0.050484	CSRNP3
ENSG00000115339	2	166604101	166651192	55	8	292485	1.8834	0.029822	GALNT3
ENSG00000123607	2	166713985	166810353	203	19	292485	1.6056	0.054177	TTC21B
ENSG00000144285	2	166845670	166984523	473	31	292485	0.69433	0.24374	SCN1A
ENSG00000169432	2	167051695	167232503	616	49	292485	1.1752	0.11996	SCN9A
ENSG00000136546	2	167260083	167350757	256	25	292485	0.18363	0.42715	SCN7A
ENSG00000163092	2	167744997	168116263	1436	45	292485	1.4861	0.06862	XIRP2
ENSG00000172318	2	168675182	168730551	88	15	292485	-0.026607	0.51061	B3GALT1
ENSG00000198648	2	168810530	169104651	984	66	292485	1.3694	0.085434	STK39
ENSG00000172292	2	169312372	169631644	890	83	292485	2.7757	0.0027543	CERS6
ENSG00000163072	2	169643049	169722024	216	26	292485	0.61078	0.27067	NOSTRIN
ENSG00000152253	2	169690642	169769881	221	24	292485	0.45363	0.32505	SPC25
ENSG00000152254	2	169757750	169766505	15	4	292485	-0.6261	0.73438	G6PC2
ENSG00000073734	2	169779448	169887832	371	33	292485	-0.41916	0.66245	ABCB11
ENSG00000073737	2	169921299	169952677	24	7	292485	0.2365	0.40652	DHRS9
ENSG00000081479	2	169983619	170219195	771	82	292485	2.4788	0.0065905	LRP2
ENSG00000163093	2	170335688	170382432	144	20	292485	1.7339	0.041467	BBS5
ENSG00000251569	2	170335990	170382432	144	20	292485	1.7339	0.041467	RP11-724O16.1
ENSG00000239474	2	170366212	170382772	40	12	292485	1.163	0.12242	KLHL41
ENSG00000138399	2	170386259	170430385	138	21	292485	1.0113	0.15593	FASTKD1
ENSG00000138398	2	170440850	170497916	237	16	292485	-0.33818	0.63239	PPIG
ENSG00000154479	2	170501935	170550943	219	12	292485	-0.51198	0.69567	CCDC173
ENSG00000144362	2	170550975	170558218	15	4	292485	-0.59558	0.72427	PHOSPHO2
ENSG00000213160	2	170550998	170633499	408	35	292485	-0.47618	0.68303	KLHL23
ENSG00000138385	2	170648443	170668574	60	12	292485	0.42958	0.33375	SSB
ENSG00000138382	2	170666591	170681441	57	10	292485	0.78688	0.21568	METTL5
ENSG00000144357	2	170683968	170940641	1067	31	292485	1.1038	0.13483	UBR3
ENSG00000071909	2	171034655	171511681	1614	154	292485	1.0998	0.13571	MYO3B
ENSG00000222033	2	171568961	171571077	2	1	292485	-0.54551	0.7073	LINC01124
ENSG00000204335	2	171571861	171574588	4	1	292485	-0.036263	0.51446	SP5
ENSG00000204334	2	171640296	171655481	46	5	292485	-1.2521	0.89474	ERICH2
ENSG00000128683	2	171669723	171717661	127	14	292485	-1.8953	0.97098	GAD1
ENSG00000115806	2	171784974	171823639	97	11	292485	-1.1583	0.87663	GORASP2
ENSG00000198586	2	171847333	172087824	632	24	292485	0.12419	0.45058	TLK1
ENSG00000123600	2	172173919	172291312	240	27	292485	-0.89283	0.81403	METTL8
ENSG00000115827	2	172290727	172341562	162	9	292485	0.91907	0.17903	DCAF17
ENSG00000071967	2	172378757	172414643	123	18	292485	-1.6271	0.94814	CYBRD1
ENSG00000077380	2	172543919	172604930	132	17	292485	0.70212	0.2413	DYNC1I2
ENSG00000268821	2	172560844	172567314	12	4	292485	0.91548	0.17997	AC068039.1
ENSG00000115840	2	172640880	172864766	616	30	292485	0.6158	0.26901	SLC25A12
ENSG00000128708	2	172778958	172848599	179	22	292485	1.0454	0.14793	HAT1
ENSG00000172878	2	172864490	172947158	213	25	292485	-0.090839	0.53619	METAP1D
ENSG00000144355	2	172949468	172954405	7	4	292485	-1.2087	0.88662	DLX1
ENSG00000115844	2	172964167	172967628	3	2	292485	-1.3381	0.90957	DLX2
ENSG00000091409	2	173292082	173371181	359	34	292485	0.81624	0.20718	ITGA6
ENSG00000152256	2	173420101	173489823	237	16	292485	0.54834	0.29173	PDK1
ENSG00000091428	2	173600002	173917621	930	81	292485	1.5034	0.066374	RAPGEF4
ENSG00000091436	2	173940163	174132738	691	45	292485	0.49898	0.3089	MLTK
ENSG00000144354	2	174219548	174233725	48	9	292485	-0.30037	0.61805	CDCA7
ENSG00000172845	2	174771187	174830430	198	21	292485	0.82225	0.20547	SP3
ENSG00000138430	2	174937175	175113426	565	21	292485	-0.11481	0.5457	OLA1
ENSG00000217236	2	175199674	175203220	16	6	292485	-2.286	0.98887	SP9
ENSG00000268241	2	175200601	175202151	2	1	292485	-0.93715	0.82566	AC018470.1
ENSG00000138433	2	175212750	175260443	83	10	292485	-2.1005	0.98216	CIR1
ENSG00000144306	2	175260458	175294303	120	7	292485	-1.0519	0.85358	SCRN3
ENSG00000163328	2	175296966	175351822	109	12	292485	-0.04429	0.51766	GPR155
ENSG00000115935	2	175424300	175547644	187	28	292485	-0.45874	0.67679	WIPF1
ENSG00000138435	2	175612320	175629200	54	7	292485	-1.2224	0.88921	CHRNA1
ENSG00000128656	2	175664091	175870097	311	19	292485	0.81232	0.2083	CHN1
ENSG00000115966	2	175936978	176033110	259	15	292485	0.081594	0.46748	ATF2
ENSG00000154518	2	176040986	176049335	34	5	292485	-0.40823	0.65845	ATP5G3
ENSG00000144320	2	176788620	176867567	214	25	292485	1.4756	0.070022	KIAA1715
ENSG00000174279	2	176942200	176948641	7	2	292485	2.8117	0.0024638	EVX2
ENSG00000128714	2	176957619	176960666	2	1	292485	-0.50744	0.69408	HOXD13
ENSG00000170178	2	176964458	176966408	4	2	292485	1.8923	0.029227	HOXD12
ENSG00000128713	2	176968944	176974722	10	3	292485	3.0128	0.0012943	HOXD11
ENSG00000128710	2	176973518	176984670	23	7	292485	0.25531	0.39924	HOXD10
ENSG00000128709	2	176987088	176989853	6	2	292485	-0.010869	0.50434	HOXD9
ENSG00000175879	2	176994422	176997423	5	2	292485	1.4239	0.077232	HOXD8
ENSG00000128652	2	177001340	177037830	76	12	292485	1.2722	0.10165	HOXD3
ENSG00000170166	2	177015950	177017954	4	2	292485	1.817	0.03461	HOXD4
ENSG00000128645	2	177053307	177055688	3	1	292485	1.7944	0.036371	HOXD1
ENSG00000128654	2	177134123	177202753	144	14	292485	0.08628	0.46562	MTX2
ENSG00000170144	2	178077291	178088686	12	3	292485	1.2322	0.10894	HNRNPA3
ENSG00000116044	2	178092323	178257425	463	34	292485	0.45013	0.32631	NFE2L2
ENSG00000018510	2	178257372	178408564	382	19	292485	-0.035538	0.51417	AGPS
ENSG00000196659	2	178413726	178417742	5	2	292485	-0.32692	0.62814	TTC30B
ENSG00000197557	2	178477720	178483694	40	7	292485	-0.64576	0.74078	TTC30A
ENSG00000128655	2	178487980	178973066	1970	63	292485	0.79276	0.21396	PDE11A
ENSG00000155636	2	178977151	179003738	66	15	292485	1.3503	0.088456	RBM45
ENSG00000079156	2	179059208	179264160	579	47	292485	-0.57541	0.71749	OSBPL6
ENSG00000180228	2	179296141	179316239	30	7	292485	0.017577	0.49299	PRKRA
ENSG00000204311	2	179316163	179326117	13	4	292485	-0.41701	0.66167	DFNB59
ENSG00000079150	2	179328391	179343327	24	6	292485	-0.61945	0.73219	FKBP7
ENSG00000116095	2	179345195	179381189	73	12	292485	-2.1439	0.98398	PLEKHA3
ENSG00000155657	2	179390716	179695529	600	40	292485	-1.4967	0.93276	TTN
ENSG00000163492	2	179694484	179914813	678	56	292485	-1.5027	0.93354	CCDC141
ENSG00000187231	2	179966419	180129517	442	31	292485	-1.128	0.87035	SESTD1
ENSG00000144331	2	180306709	180726232	1616	122	292485	1.2568	0.10442	ZNF385B
ENSG00000163510	2	180809603	180871840	189	14	292485	1.0388	0.14946	CWC22
ENSG00000170035	2	181831975	181941312	403	15	292485	0.28542	0.38766	UBE2E3
ENSG00000115232	2	182321929	182400914	242	25	292485	-1.0451	0.85202	ITGA4
ENSG00000188452	2	182401403	182545392	418	34	292485	0.083705	0.46665	CERKL
ENSG00000162992	2	182537815	182545603	9	3	292485	-0.089054	0.53548	NEUROD1
ENSG00000138434	2	182756560	182795465	66	6	292485	0.65574	0.256	SSFA2
ENSG00000150722	2	182818968	182996125	418	45	292485	-1.0317	0.84889	PPP1R1C
ENSG00000115252	2	183004763	183387919	1336	63	292485	-0.5472	0.70788	PDE1A
ENSG00000077232	2	183580999	183659191	154	10	292485	-0.015918	0.50635	DNAJC10
ENSG00000162998	2	183698002	183731890	90	11	292485	-0.15324	0.56089	FRZB
ENSG00000061676	2	183773843	183903586	329	26	292485	-0.52029	0.69857	NCKAP1
ENSG00000162999	2	183943287	183964733	67	12	292485	0.53379	0.29674	DUSP19
ENSG00000163002	2	183982241	184026408	291	25	292485	0.29706	0.38321	NUP35
ENSG00000170396	2	185463093	185804219	801	33	292485	2.1333	0.016448	ZNF804A
ENSG00000188738	2	186603355	186698017	258	10	292485	1.2748	0.10119	FSIP2
ENSG00000065548	2	187350883	187374090	53	7	292485	-0.52944	0.70175	ZC3H15
ENSG00000213953	2	187361840	187365393	11	3	292485	0.029836	0.4881	AC018867.1
ENSG00000138448	2	187454792	187545628	153	19	292485	0.13286	0.44715	ITGAV
ENSG00000144369	2	187558698	187630685	122	15	292485	-0.378	0.64728	FAM171B
ENSG00000163012	2	187692562	187713935	103	4	292485	1.2925	0.098088	ZSWIM2
ENSG00000064989	2	188207856	188313187	264	22	292485	-0.9602	0.83152	CALCRL
ENSG00000003436	2	188328957	188430487	273	33	292485	-1.4911	0.93203	TFPI
